Net_Conditions,Success_Rate_%,Success_Num,Multiple_Attempts,Object_Drop,Collision,OOV,On_Board,Off_Board,Wrong_Color
Normal-1,100.0,90/90,7,3,0,0,0,0,0
Normal-2,100.0,90/90,8,6,2,0,0,0,0
Normal-3,98.85000000000001,86/87,3,6,1,0,1,0,0
PLM-10,93.17999999999999,82/88,11,12,5,0,6,0,0
PLM-30,97.78,88/90,15,5,7,0,1,1,0
PLM-50,95.50999999999999,85/89,17,11,6,0,4,0,0
DLM-100,95.56,86/90,6,8,6,0,3,1,0
DLM-300,92.22,83/90,13,18,14,2,4,1,2
DLM-500,92.22,83/90,37,12,26,0,5,0,2
CLM-10,100.0,90/90,5,9,3,0,0,0,0
CLM-30,95.50999999999999,85/89,26,21,20,0,4,0,0
CLM-50,97.75,87/89,13,11,13,0,2,0,0
