Net_Conditions,Success_Rate_%,Success_Num,Multiple_Attempts,Object_Drop,Collision,OOV,On_Board,Off_Board,Wrong_Color
Normal-1,100.0,30/30,1,0,0,0,0,0,0
Normal-2,100.0,30/30,2,0,1,0,0,0,0
Normal-3,100.0,28/28,1,0,0,0,0,0,0
PLM-10,100.0,29/29,2,2,0,0,0,0,0
PLM-30,93.33,28/30,2,2,1,0,1,1,0
PLM-50,96.67,29/30,3,3,2,0,1,0,0
DLM-100,100.0,30/30,1,0,0,0,0,0,0
DLM-300,100.0,30/30,1,1,3,2,0,0,0
DLM-500,96.67,29/30,11,2,1,0,1,0,0
CLM-10,100.0,30/30,1,0,0,0,0,0,0
CLM-30,100.0,30/30,8,3,3,0,0,0,0
CLM-50,96.55,28/29,2,2,0,0,1,0,0
