Net_Conditions,Success_Rate_%,Success_Num,Multiple_Attempts,Object_Drop,Collision,OOV,On_Board,Off_Board,Wrong_Color
Normal-1,100.0,30/30,4,0,0,0,0,0,0
Normal-2,100.0,30/30,3,3,0,0,0,0,0
Normal-3,100.0,29/29,0,3,0,0,0,0,0
PLM-10,90.0,27/30,6,6,2,0,3,0,0
PLM-30,100.0,30/30,4,2,3,0,0,0,0
PLM-50,93.33,28/30,7,5,1,0,2,0,0
DLM-100,93.33,28/30,3,5,2,0,1,1,0
DLM-300,86.67,26/30,6,9,2,0,3,1,0
DLM-500,86.67,26/30,7,5,14,0,2,0,2
CLM-10,100.0,30/30,1,5,1,0,0,0,0
CLM-30,96.55,28/29,6,5,6,0,1,0,0
CLM-50,96.67,29/30,6,2,3,0,1,0,0
