Net Conditions,Transfer,"Touch(Right_grasper, Peg)","Grasp(Right_grasper, Peg)","Untouch(Right_grasper, Peg, Pole_S)","Touch(Left_grasper, Peg)","Grasp(Left_grasper, Peg)","Release(Right_grasper, Peg)","Untouch(Right_grasper, Peg)","Touch(Left_grasper, Peg, Pole_G)","Release(Left_grasper, Peg)"
Normal,22.1 ± 5.6,6.0 ± 2.1,1.3 ± 0.5,1.6 ± 0.4,5.6 ± 1.7,1.3 ± 0.4,0.9 ± 0.3,0.8 ± 0.2,3.5 ± 1.1,1.2 ± 0.4
PLM-10,24.4 ± 8.3,7.5 ± 4.0,1.2 ± 0.5,1.9 ± 0.9,6.4 ± 3.4,1.3 ± 0.4,0.9 ± 0.3,0.8 ± 0.3,3.7 ± 1.6,1.1 ± 0.3
PLM-30,26.6 ± 7.4*,6.9 ± 2.9,1.3 ± 0.7,1.9 ± 0.8,7.9 ± 3.2*,1.3 ± 0.6,1.0 ± 0.4,0.9 ± 0.3*,4.1 ± 2.0,1.1 ± 0.3
PLM-50,36.2 ± 10.7*,10.7 ± 5.0*,1.3 ± 0.5,2.8 ± 1.4*,9.8 ± 3.7*,1.6 ± 0.6*,1.3 ± 0.6*,1.2 ± 0.4*,5.6 ± 1.6*,1.1 ± 0.2
DLM-100,27.1 ± 9.7*,7.0 ± 3.1,1.2 ± 0.4,1.8 ± 0.8,7.4 ± 4.0,1.4 ± 0.6,1.0 ± 0.4*,1.0 ± 0.3*,4.5 ± 1.8*,1.3 ± 0.5
DLM-300,34.1 ± 6.5*,10.4 ± 3.9*,1.6 ± 1.1,2.5 ± 0.9*,8.8 ± 2.9*,1.6 ± 0.6*,1.2 ± 0.4*,1.4 ± 0.5*,6.1 ± 1.9*,1.6 ± 0.6*
DLM-500,47.9 ± 12.9*,14.4 ± 5.4*,2.1 ± 1.2*,2.9 ± 1.4*,12.9 ± 3.9*,2.0 ± 1.2*,1.6 ± 0.4*,1.9 ± 0.7*,9.1 ± 2.9*,1.7 ± 0.6*
CLM-10,28.9 ± 8.9*,8.2 ± 3.7*,1.4 ± 0.7,2.3 ± 1.3*,7.6 ± 3.4*,1.4 ± 0.8,1.2 ± 0.4*,1.2 ± 0.6*,4.7 ± 1.9*,1.2 ± 0.6
CLM-30,47.4 ± 11.0*,13.5 ± 4.8*,1.9 ± 0.9*,3.9 ± 2.2*,14.5 ± 4.9*,1.6 ± 0.6*,1.4 ± 0.7*,1.5 ± 0.5*,7.3 ± 1.8*,1.5 ± 0.5*
CLM-50,64.3 ± 25.4*,17.4 ± 8.4*,2.7 ± 2.7*,4.7 ± 2.6*,20.2 ± 10.4*,2.9 ± 2.1*,2.2 ± 0.9*,2.3 ± 0.9*,10.2 ± 3.1*,2.0 ± 1.1*
