Net Conditions,Transfer_mean,Transfer_std,Transfer_change,"Touch(Right_grasper, Peg)_mean","Touch(Right_grasper, Peg)_std","Touch(Right_grasper, Peg)_change","Grasp(Right_grasper, Peg)_mean","Grasp(Right_grasper, Peg)_std","Grasp(Right_grasper, Peg)_change","Untouch(Right_grasper, Peg, Pole_S)_mean","Untouch(Right_grasper, Peg, Pole_S)_std","Untouch(Right_grasper, Peg, Pole_S)_change","Touch(Left_grasper, Peg)_mean","Touch(Left_grasper, Peg)_std","Touch(Left_grasper, Peg)_change","Grasp(Left_grasper, Peg)_mean","Grasp(Left_grasper, Peg)_std","Grasp(Left_grasper, Peg)_change","Release(Right_grasper, Peg)_mean","Release(Right_grasper, Peg)_std","Release(Right_grasper, Peg)_change","Untouch(Right_grasper, Peg)_mean","Untouch(Right_grasper, Peg)_std","Untouch(Right_grasper, Peg)_change","Touch(Left_grasper, Peg, Pole_G)_mean","Touch(Left_grasper, Peg, Pole_G)_std","Touch(Left_grasper, Peg, Pole_G)_change","Release(Left_grasper, Peg)_mean","Release(Left_grasper, Peg)_std","Release(Left_grasper, Peg)_change"
Normal,22.1,5.6,0,6,2.1,0,1.3,0.5,0,1.6,0.4,0,5.6,1.7,0,1.3,0.4,0,0.9,0.3,0,0.8,0.2,0,3.5,1.1,0,1.2,0.4,0
PLM-10,24.4,8.3,10.4,7.5,4,24.9,1.2,0.5,-7.7,1.9,0.9,19.1,6.4,3.4,14.2,1.3,0.4,0,0.9,0.3,0,0.8,0.3,0,3.7,1.6,5.7,1.1,0.3,-8.3
PLM-30,26.6,7.4,20.4,6.9,2.9,14.9,1.3,0.7,0,1.9,0.8,19.1,7.9,3.2,40.9,1.3,0.6,0,1,0.4,11.5,0.9,0.3,12.2,4.1,2,17.2,1.1,0.3,-8.3
PLM-50,36.2,10.7,63.9,10.7,5,78,1.3,0.5,0,2.8,1.4,76.4,9.8,3.7,74.7,1.6,0.6,24,1.3,0.6,45.9,1.2,0.4,48.9,5.6,1.6,60.4,1.1,0.2,-8.3
DLM-100,27.1,9.7,22.7,7,3.1,16.6,1.2,0.4,-7.7,1.8,0.8,12.7,7.4,4,32,1.4,0.6,8,1,0.4,11.5,1,0.3,24.4,4.5,1.8,28.7,1.3,0.5,8.3
DLM-300,34.1,6.5,54.4,10.4,3.9,73,1.6,1.1,23.2,2.5,0.9,57.3,8.8,2.9,56.9,1.6,0.6,24,1.2,0.4,34.4,1.4,0.5,73.3,6.1,1.9,74.7,1.6,0.6,33.1
DLM-500,47.9,12.9,117,14.4,5.4,139.4,2.1,1.2,61.8,2.9,1.4,82.8,12.9,3.9,129.9,2,1.2,55.9,1.6,0.4,80.3,1.9,0.7,134.4,9.1,2.9,160.9,1.7,0.6,41.4
CLM-10,28.9,8.9,30.8,8.2,3.7,36.5,1.4,0.7,7.7,2.3,1.3,44.6,7.6,3.4,35.6,1.4,0.8,8,1.2,0.4,34.4,1.2,0.6,48.9,4.7,1.9,34.5,1.2,0.6,0
CLM-30,47.4,11,114.7,13.5,4.8,124.5,1.9,0.9,46.3,3.9,2.2,146.5,14.5,4.9,158.4,1.6,0.6,24,1.4,0.7,57.3,1.5,0.5,85.5,7.3,1.8,109.2,1.5,0.5,24.8
CLM-50,64.3,25.4,191.4,17.4,8.4,189.2,2.7,2.7,108.1,4.7,2.6,197.4,20.2,10.4,259.8,2.9,2.1,127.8,2.2,0.9,149,2.3,0.9,183.3,10.2,3.1,192.5,2,1.1,66.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Conditions,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8,MP9,,,,,,,,,,,,,,,,,,,,,
Normal,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
PLM-10,24.9,-7.7,19.1,14.2,0,0,0,5.7,-8.3,,,,,,,,,,,,,,,,,,,,,
PLM-30,14.9,0,19.1,40.9,0,11.5,12.2,17.2,-8.3,,,,,,,,,,,,,,,,,,,,,
PLM-50,78,0,76.4,74.7,24,45.9,48.9,60.4,-8.3,,,,,,,,,,,,,,,,,,,,,
DLM-100,16.6,-7.7,12.7,32,8,11.5,24.4,28.7,8.3,,,,,,,,,,,,,,,,,,,,,
DLM-300,73,23.2,57.3,56.9,24,34.4,73.3,74.7,33.1,,,,,,,,,,,,,,,,,,,,,
DLM-500,139.4,61.8,82.8,129.9,55.9,80.3,134.4,160.9,41.4,,,,,,,,,,,,,,,,,,,,,
CLM-10,36.5,7.7,44.6,35.6,8,34.4,48.9,34.5,0,,,,,,,,,,,,,,,,,,,,,
CLM-30,124.5,46.3,146.5,158.4,24,57.3,85.5,109.2,24.8,,,,,,,,,,,,,,,,,,,,,
CLM-50,189.2,108.1,197.4,259.8,127.8,149,183.3,192.5,66.2,,,,,,,,,,,,,,,,,,,,,
