Net Conditions,Transfer,"Touch(Right_grasper, Peg)","Grasp(Right_grasper, Peg)","Untouch(Right_grasper, Peg, Pole_S)","Touch(Left_grasper, Peg)","Grasp(Left_grasper, Peg)","Release(Right_grasper, Peg)","Untouch(Right_grasper, Peg)","Touch(Left_grasper, Peg, Pole_G)","Release(Left_grasper, Peg)"
Normal,0.429 ± 0.077 | 0.54 ± 0.117,0.109 ± 0.029 | 0.135 ± 0.039,0.007 ± 0.003 | 0.012 ± 0.007,0.037 ± 0.009 | 0.049 ± 0.011,0.131 ± 0.035 | 0.151 ± 0.044,0.01 ± 0.004 | 0.013 ± 0.005,0.007 ± 0.003 | 0.011 ± 0.006,0.036 ± 0.011 | 0.051 ± 0.02,0.079 ± 0.017 | 0.096 ± 0.021,0.015 ± 0.01 | 0.025 ± 0.018
PLM-10,0.43 ± 0.109 | 0.587 ± 0.167,0.113 ± 0.037 | 0.152 ± 0.056,0.005 ± 0.002 | 0.01 ± 0.003,0.038 ± 0.009 | 0.055 ± 0.013*,0.133 ± 0.054 | 0.17 ± 0.071,0.008 ± 0.005 | 0.012 ± 0.007,0.005 ± 0.002* | 0.008 ± 0.004,0.035 ± 0.011 | 0.054 ± 0.019,0.081 ± 0.033 | 0.105 ± 0.045,0.013 ± 0.01 | 0.021 ± 0.018
PLM-30,0.402 ± 0.071 | 0.717 ± 0.151*,0.094 ± 0.021* | 0.164 ± 0.043*,0.005 ± 0.003 | 0.013 ± 0.008,0.035 ± 0.006 | 0.065 ± 0.015*,0.139 ± 0.042 | 0.234 ± 0.075*,0.009 ± 0.004 | 0.015 ± 0.008,0.005 ± 0.002* | 0.012 ± 0.005,0.033 ± 0.009* | 0.065 ± 0.021*,0.07 ± 0.022* | 0.121 ± 0.036*,0.013 ± 0.009* | 0.028 ± 0.02
PLM-50,0.409 ± 0.093 | 1.018 ± 0.273*,0.111 ± 0.044 | 0.277 ± 0.117*,0.004 ± 0.002* | 0.014 ± 0.007,0.036 ± 0.008 | 0.098 ± 0.033*,0.126 ± 0.038 | 0.296 ± 0.092*,0.006 ± 0.002* | 0.016 ± 0.007,0.006 ± 0.003 | 0.019 ± 0.013*,0.031 ± 0.009 | 0.082 ± 0.033*,0.079 ± 0.023 | 0.19 ± 0.06*,0.009 ± 0.004* | 0.026 ± 0.013
DLM-100,0.464 ± 0.13 | 0.596 ± 0.193,0.123 ± 0.048 | 0.15 ± 0.062,0.005 ± 0.002 | 0.01 ± 0.005,0.033 ± 0.004 | 0.047 ± 0.008,0.148 ± 0.066 | 0.172 ± 0.085,0.01 ± 0.004 | 0.012 ± 0.007,0.007 ± 0.003 | 0.014 ± 0.006*,0.037 ± 0.013 | 0.058 ± 0.025*,0.088 ± 0.024 | 0.104 ± 0.034,0.014 ± 0.011 | 0.029 ± 0.027
DLM-300,0.5 ± 0.117* | 0.66 ± 0.185*,0.14 ± 0.051* | 0.175 ± 0.07*,0.006 ± 0.006 | 0.011 ± 0.009,0.037 ± 0.006 | 0.06 ± 0.013*,0.151 ± 0.041* | 0.176 ± 0.054*,0.01 ± 0.004 | 0.011 ± 0.006,0.007 ± 0.003 | 0.019 ± 0.011*,0.039 ± 0.022 | 0.068 ± 0.035*,0.108 ± 0.042* | 0.125 ± 0.053*,0.013 ± 0.009 | 0.032 ± 0.023
DLM-500,0.597 ± 0.19* | 0.787 ± 0.282*,0.18 ± 0.065* | 0.225 ± 0.089*,0.007 ± 0.004 | 0.016 ± 0.008,0.035 ± 0.006 | 0.06 ± 0.017*,0.191 ± 0.082* | 0.225 ± 0.106*,0.01 ± 0.005 | 0.01 ± 0.008,0.007 ± 0.003 | 0.019 ± 0.009*,0.039 ± 0.013 | 0.072 ± 0.031*,0.123 ± 0.042* | 0.14 ± 0.05*,0.012 ± 0.007 | 0.03 ± 0.018
CLM-10,0.457 ± 0.136 | 0.662 ± 0.26*,0.116 ± 0.042 | 0.164 ± 0.071,0.007 ± 0.003 | 0.012 ± 0.006,0.04 ± 0.009 | 0.058 ± 0.022,0.138 ± 0.042 | 0.185 ± 0.069*,0.01 ± 0.005 | 0.013 ± 0.009,0.008 ± 0.004 | 0.014 ± 0.01,0.039 ± 0.013 | 0.063 ± 0.034,0.087 ± 0.035 | 0.128 ± 0.063,0.015 ± 0.011 | 0.029 ± 0.031
CLM-30,0.509 ± 0.141* | 0.952 ± 0.343*,0.144 ± 0.057* | 0.272 ± 0.124*,0.006 ± 0.004 | 0.018 ± 0.013*,0.045 ± 0.021 | 0.098 ± 0.08*,0.162 ± 0.05* | 0.279 ± 0.097*,0.007 ± 0.003* | 0.012 ± 0.006,0.007 ± 0.004 | 0.016 ± 0.01*,0.04 ± 0.015 | 0.075 ± 0.037*,0.089 ± 0.034 | 0.153 ± 0.059*,0.014 ± 0.013 | 0.036 ± 0.039
CLM-50,0.524 ± 0.16* | 1.219 ± 0.459*,0.144 ± 0.056* | 0.328 ± 0.13*,0.007 ± 0.007 | 0.026 ± 0.032,0.042 ± 0.008 | 0.095 ± 0.033*,0.18 ± 0.067* | 0.401 ± 0.192*,0.01 ± 0.008 | 0.022 ± 0.018,0.006 ± 0.004 | 0.033 ± 0.031*,0.039 ± 0.015 | 0.084 ± 0.038*,0.091 ± 0.036 | 0.205 ± 0.098*,0.01 ± 0.007* | 0.035 ± 0.038
