Net Conditions,Trial,"Touch(Right_grasper, Peg)","Grasp(Right_grasper, Peg)","Untouch(Right_grasper, Peg, Pole_S)","Touch(Left_grasper, Peg)","Grasp(Left_grasper, Peg)","Release(Right_grasper, Peg)","Untouch(Right_grasper, Peg)","Touch(Left_grasper, Peg, Pole_G)","Release(Left_grasper, Peg)"
Normal,9 ± 4.39,4 ± 2.49,1 ± 0.5,1 ± 0.61,3 ± 1.53,1 ± 0.25,1 ± 0.34,1 ± 0.34,3 ± 0.93,1 ± 0.6
PLM-10,9 ± 6.95,5 ± 3.08,1 ± 0.25,1 ± 0.88,3 ± 2.98,1 ± 0.34,0 ± 0.0,1 ± 0.25,2 ± 1.45,1 ± 0.25
PLM-30,13 ± 6.59,6 ± 3.07,1 ± 0.4,1 ± 0.72,4 ± 2.29,0 ± 0.0,1 ± 0.25,1 ± 0.25,3 ± 2.33,1 ± 0.25
PLM-50,23 ± 14.2*,11 ± 6.12*,1 ± 0.34*,2 ± 1.6,7 ± 6.08,1 ± 0.4,0 ± 0.0,1 ± 0.4,5 ± 2.8*,0 ± 0.0
DLM-100,8 ± 5.31,4 ± 2.63,0 ± 0.0*,1 ± 0.34,3 ± 2.41,0 ± 0.0,1 ± 0.25,0 ± 0.0,2 ± 1.61,0 ± 0.0
DLM-300,10 ± 5.35,5 ± 2.91,0 ± 0.0*,1 ± 1.09,3 ± 1.67,0 ± 0.0,0 ± 0.0,1 ± 0.34,3 ± 1.89,1 ± 0.25
DLM-500,11 ± 5.65,5 ± 2.41,0 ± 0.0*,1 ± 0.88,3 ± 2.26,1 ± 0.34,1 ± 0.25,1 ± 0.34,3 ± 1.78,1 ± 0.25
CLM-10,10 ± 5.87,5 ± 2.87,1 ± 0.4,1 ± 1.3,3 ± 2.35,1 ± 0.5,0 ± 0.0,1 ± 0.34,2 ± 1.25,1 ± 0.5
CLM-30,20 ± 9.34*,9 ± 4.28*,1 ± 0.54,2 ± 1.71,7 ± 4.19*,1 ± 0.25,1 ± 0.25,1 ± 0.34,4 ± 2.14,1 ± 0.25
CLM-50,25 ± 17.05*,10 ± 5.12*,1 ± 1.25,3 ± 2.34*,9 ± 7.48*,1 ± 0.79,1 ± 0.34,1 ± 0.6,3 ± 1.59,1 ± 0.6
